loan_id, no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, commercial_assets_value, bank_asset_value, luxury_assets_value,Expenses, loan_status
1,2, Graduate, No,9600000,29900000,12,778,2400000,17600000,8000000,22700000,4743834, Approved
2,0, Not Graduate, Yes,4100000,12200000,8,417,2700000,2200000,3300000,8800000,3241610, Rejected
3,3, Graduate, No,9100000,29700000,20,506,7100000,4500000,12800000,33300000,6610010, Rejected
4,3, Graduate, No,8200000,30700000,8,467,18200000,3300000,7900000,23300000,5154181, Rejected
5,5, Not Graduate, Yes,9800000,24200000,20,382,12400000,8200000,5000000,29400000,7423409, Rejected
6,0, Graduate, Yes,4800000,13500000,10,319,6800000,8300000,5100000,13700000,3961774, Rejected
7,5, Graduate, No,8700000,33000000,4,678,22500000,14800000,4300000,29200000,3928925, Approved
8,2, Graduate, Yes,5700000,15000000,20,382,13200000,5700000,6000000,11800000,3655355, Rejected
9,0, Graduate, Yes,800000,2200000,20,782,1300000,800000,600000,2800000,361792, Approved
10,5, Not Graduate, No,1100000,4300000,10,388,3200000,1400000,1600000,3300000,822836, Rejected
11,4, Graduate, Yes,2900000,11200000,2,547,8100000,4700000,3100000,9500000,1621006, Approved
12,2, Not Graduate, Yes,6700000,22700000,18,538,15300000,5800000,6400000,20400000,4999283, Rejected
13,3, Not Graduate, Yes,5000000,11600000,16,311,6400000,9600000,4300000,14600000,3333023, Rejected
14,2, Graduate, Yes,9100000,31500000,14,679,10800000,16600000,5000000,20900000,5075244, Approved
15,1, Not Graduate, No,1900000,7400000,6,469,1900000,1200000,1900000,5900000,1602104, Rejected
16,5, Not Graduate, No,4700000,10700000,10,794,5700000,3900000,4400000,16400000,2654846, Approved
17,2, Graduate, Yes,500000,1600000,4,663,1300000,100000,700000,1300000,235718, Approved
18,4, Not Graduate, Yes,2900000,9400000,14,780,2900000,2800000,4300000,6700000,1343421, Approved
19,2, Graduate, No,2700000,10300000,10,736,1000000,0,3300000,6200000,1568959, Approved
20,5, Graduate, No,6300000,14600000,12,652,10300000,3500000,5900000,23500000,3174221, Approved
21,2, Graduate, No,5000000,19400000,12,315,9500000,1600000,6100000,18000000,4159226, Rejected
22,4, Graduate, No,5800000,14000000,16,530,3800000,11300000,5400000,22200000,4089233, Rejected
23,4, Graduate, Yes,6500000,25700000,18,311,13100000,1700000,8500000,19500000,4694420, Rejected
24,0, Not Graduate, Yes,500000,1400000,2,551,900000,600000,300000,1100000,210978, Approved
25,0, Not Graduate, No,4900000,9800000,16,324,3800000,8700000,3300000,10000000,3327721, Rejected
26,5, Not Graduate, No,3100000,9500000,20,514,7900000,3100000,2600000,6600000,2534282, Rejected
27,4, Graduate, No,8200000,28100000,12,696,11500000,10600000,7200000,25300000,3587534, Approved
28,4, Not Graduate, Yes,2400000,5600000,4,662,4500000,4200000,2500000,5400000,1274978, Approved
29,5, Not Graduate, Yes,7000000,24000000,6,336,2300000,11900000,9700000,27500000,4858644, Rejected
30,3, Not Graduate, Yes,9000000,31500000,10,850,21800000,12400000,8000000,33700000,4295946, Approved
31,2, Not Graduate, No,9800000,25300000,12,313,20200000,5200000,9300000,25500000,7357151, Rejected
32,2, Graduate, No,5700000,12000000,6,363,3600000,7400000,4300000,21700000,4067406, Rejected
33,1, Not Graduate, Yes,800000,1600000,10,436,700000,200000,1000000,2200000,652756, Rejected
34,5, Not Graduate, Yes,8400000,22000000,2,830,3800000,3900000,5400000,19900000,3364943, Approved
35,3, Graduate, No,4900000,11900000,8,612,9700000,1200000,5800000,19000000,2321110, Approved
36,2, Graduate, Yes,1700000,3400000,8,691,2700000,2800000,900000,6000000,925864, Approved
37,3, Not Graduate, No,1600000,6200000,18,636,3400000,700000,1400000,5300000,929910, Approved
38,5, Graduate, Yes,8000000,27200000,6,348,6400000,300000,7100000,16700000,6199288, Rejected
39,5, Graduate, No,3600000,7700000,16,830,7000000,1300000,2900000,10000000,1648817, Approved
40,3, Not Graduate, Yes,1500000,5100000,6,352,100000,200000,900000,5600000,960721, Rejected
41,1, Graduate, No,7800000,18100000,2,712,8600000,11200000,9000000,21700000,4505749, Approved
42,2, Not Graduate, No,9100000,24900000,16,822,22300000,12100000,5200000,31000000,4009894, Approved
43,3, Graduate, No,1400000,3400000,6,540,200000,1500000,800000,3900000,943311, Rejected
44,2, Graduate, Yes,800000,2300000,12,342,2200000,1300000,800000,1800000,541297, Rejected
45,5, Graduate, No,6500000,13400000,18,787,18200000,300000,5400000,16200000,3105263, Approved
